Month,Stations,BOD (mg/L),Dissolved Oxygen (mg/L),"Fecal Coliform, MPN/100ml (Geomean)",pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phospate (mg/L)
2016-12-01,Stn. IV (Central Bay),1.0,7.7,21.0,8.4,0.027,0.001,0.165
2016-12-01,Stn. V (Northern West Bay),2.0,6.8,426.0,8.4,0.012,0.039,0.181
2016-12-01,Stn. VIII (South Bay),1.0,7.2,125.0,8.3,0.013,0.238,0.116
2016-12-01,Stn. XV (San Pedro),3.0,9.6,141.0,9.0,0.001,0.028,0.111
2016-12-01,Stn. XVI (Sta. Rosa),4.0,8.5,268.0,8.5,0.001,0.014,0.075
2016-12-01,Stn. XVIII (Pagsanjan),1.0,7.6,57.0,8.4,0.001,0.248,0.113
2016-12-01,Stn. I (Central West Bay),1.0,6.5,37.0,7.9,0.077,0.121,0.149
2016-12-01,Stn. XVII (Sanctuary),2.0,7.7,110.0,8.8,0.013,0.089,0.013
2017-01-01,Stn. II (East Bay),1.0,7.7,116.0,8.0,0.001,0.343,0.084
2017-01-01,Stn. IV (Central Bay),1.0,8.1,32.0,8.3,0.001,0.149,0.072
2017-01-01,Stn. V (Northern West Bay),1.0,8.5,272.0,8.1,0.001,0.344,0.181
2017-01-01,Stn. VIII (South Bay),1.0,7.6,90.0,8.0,0.001,0.335,0.101
2017-01-01,Stn. XV (San Pedro),1.0,8.2,96.0,8.6,0.001,0.379,0.108
2017-01-01,Stn. XVI (Sta. Rosa),1.0,7.7,102.0,8.4,0.001,0.001,0.088
2017-01-01,Stn. XVIII (Pagsanjan),1.0,7.7,73.0,7.8,0.001,0.393,0.066
2017-01-01,Stn. I (Central West Bay),1.0,7.9,60.0,8.4,0.001,0.223,0.087
2017-01-01,Stn. XVII (Sanctuary),3.0,9.6,76.0,8.7,0.001,0.19,0.057
2017-02-01,Stn. II (East Bay),,,,,,,
2017-02-01,Stn. IV (Central Bay),,,,,,,
2017-02-01,Stn. V (Northern West Bay),,,,,,,
2017-02-01,Stn. VIII (South Bay),,,,,,,
2017-02-01,Stn. XV (San Pedro),2.0,8.8,85.0,8.4,0.034,0.509,0.131
2017-02-01,Stn. XVI (Sta. Rosa),,,,,,,
2017-02-01,Stn. XVIII (Pagsanjan),1.0,7.8,73.0,7.9,0.033,0.54,0.16
2017-02-01,Stn. I (Central West Bay),1.0,7.6,163.0,8.0,0.16,0.405,0.238
2017-02-01,Stn. XVII (Sanctuary),,,,,,,
2017-03-01,Stn. II (East Bay),2.0,9.4,290.0,8.4,0.1,0.197,0.049
2017-03-01,Stn. IV (Central Bay),2.0,8.4,166.0,8.0,0.033,0.372,0.088
2017-03-01,Stn. V (Northern West Bay),2.0,9.0,214.0,7.9,0.046,0.373,0.098
2017-03-01,Stn. VIII (South Bay),1.0,9.1,344.0,8.2,0.024,0.24,0.076
2017-03-01,Stn. XV (San Pedro),2.0,9.1,210.0,8.1,0.023,0.205,0.079
2017-03-01,Stn. XVI (Sta. Rosa),1.0,9.6,159.0,8.5,0.034,0.285,0.066
2017-03-01,Stn. XVIII (Pagsanjan),2.0,9.4,88.0,8.3,0.25,0.001,0.023
2017-03-01,Stn. I (Central West Bay),2.0,8.9,512.0,7.9,0.009,0.267,0.069
2017-03-01,Stn. XVII (Sanctuary),2.0,8.5,188.0,8.3,0.023,0.221,0.072
2017-04-01,Stn. II (East Bay),3.0,7.2,624.0,7.8,0.038,0.021,0.156
2017-04-01,Stn. IV (Central Bay),3.0,6.9,240.0,7.8,0.03,0.144,0.143
2017-04-01,Stn. V (Northern West Bay),3.0,6.3,214.0,7.9,0.048,0.154,0.174
2017-04-01,Stn. VIII (South Bay),2.0,7.1,552.0,7.8,0.048,0.034,0.253
2017-04-01,Stn. XV (San Pedro),3.0,6.9,27.0,7.8,0.062,0.09,0.263
2017-04-01,Stn. XVI (Sta. Rosa),2.0,6.9,196.0,7.8,0.047,0.094,0.236
2017-04-01,Stn. XVIII (Pagsanjan),3.0,7.4,151.0,7.8,0.073,0.016,0.29
2017-04-01,Stn. I (Central West Bay),,,,,,,
2017-04-01,Stn. XVII (Sanctuary),2.0,7.0,272.0,7.9,0.051,0.004,0.169
2017-05-01,Stn. II (East Bay),,,,,,,
2017-05-01,Stn. IV (Central Bay),3.0,8.4,314.0,8.7,0.026,0.001,0.067
2017-05-01,Stn. V (Northern West Bay),,,,,,,
2017-05-01,Stn. VIII (South Bay),3.0,7.5,482.0,8.0,0.041,0.001,0.096
2017-05-01,Stn. XV (San Pedro),3.0,7.9,426.0,8.3,0.022,0.013,0.02
2017-05-01,Stn. XVI (Sta. Rosa),2.0,7.0,306.0,8.0,0.043,0.001,0.078
2017-05-01,Stn. XVIII (Pagsanjan),3.0,8.4,426.0,8.3,0.019,0.001,0.071
2017-05-01,Stn. I (Central West Bay),2.0,7.3,586.0,8.3,0.143,0.001,0.288
2017-05-01,Stn. XVII (Sanctuary),4.0,7.6,586.0,8.2,0.016,0.001,0.088
2017-06-01,Stn. II (East Bay),2.0,7.1,485.0,8.2,0.02,0.001,0.165
2017-06-01,Stn. IV (Central Bay),2.0,8.1,185.0,8.3,0.027,0.022,0.252
2017-06-01,Stn. V (Northern West Bay),3.0,9.7,268.0,8.1,0.028,0.238,0.359
2017-06-01,Stn. VIII (South Bay),2.0,8.6,482.0,8.4,0.001,0.001,0.092
2017-06-01,Stn. XV (San Pedro),3.0,8.7,259.0,8.3,0.025,0.001,0.151
2017-06-01,Stn. XVI (Sta. Rosa),2.0,9.0,217.0,8.4,0.003,0.001,0.143
2017-06-01,Stn. XVIII (Pagsanjan),2.0,8.6,352.0,9.0,0.016,0.042,0.155
2017-06-01,Stn. I (Central West Bay),4.0,8.7,268.0,8.6,0.23,0.224,0.31
2017-06-01,Stn. XVII (Sanctuary),2.0,10.2,303.0,8.5,0.001,0.001,0.132
2017-07-01,Stn. II (East Bay),2.0,6.9,271.0,7.9,0.07,0.52,0.17
2017-07-01,Stn. IV (Central Bay),4.0,9.0,210.0,8.6,0.053,0.032,0.31
2017-07-01,Stn. V (Northern West Bay),,,,,,,
2017-07-01,Stn. VIII (South Bay),2.0,8.1,48.0,8.1,0.047,0.015,0.06
2017-07-01,Stn. XV (San Pedro),3.0,7.4,488.0,7.9,0.056,0.019,0.1
2017-07-01,Stn. XVI (Sta. Rosa),2.0,8.0,467.0,8.3,0.103,0.02,0.12
2017-07-01,Stn. XVIII (Pagsanjan),4.0,9.3,245.0,8.5,0.059,0.022,0.15
2017-07-01,Stn. I (Central West Bay),2.0,8.7,163.0,8.2,0.058,0.031,0.11
2017-07-01,Stn. XVII (Sanctuary),4.0,8.1,343.0,8.1,0.048,0.012,0.15
2017-08-01,Stn. II (East Bay),3.0,9.6,271.0,8.6,0.089,0.184,0.105
2017-08-01,Stn. IV (Central Bay),,,,,,,
2017-08-01,Stn. V (Northern West Bay),3.0,11.0,406.0,8.8,0.025,0.001,0.087
2017-08-01,Stn. VIII (South Bay),4.0,11.6,256.0,9.0,0.026,0.001,0.103
2017-08-01,Stn. XV (San Pedro),2.0,9.6,354.0,8.7,0.023,0.026,0.107
2017-08-01,Stn. XVI (Sta. Rosa),2.0,9.4,298.0,8.5,0.031,0.001,0.089
2017-08-01,Stn. XVIII (Pagsanjan),4.0,9.9,172.0,8.6,0.021,0.02,0.035
2017-08-01,Stn. I (Central West Bay),3.0,9.4,163.0,8.6,0.099,0.018,0.076
2017-08-01,Stn. XVII (Sanctuary),,,,,,,
2017-09-01,Stn. II (East Bay),3.0,9.5,592.0,8.7,0.003,0.001,0.099
2017-09-01,Stn. IV (Central Bay),,,,,,,
2017-09-01,Stn. V (Northern West Bay),,,,,,,
2017-09-01,Stn. VIII (South Bay),5.0,10.3,357.0,8.7,0.001,0.006,0.168
2017-09-01,Stn. XV (San Pedro),9.0,10.4,234.0,8.8,0.001,0.001,0.235
2017-09-01,Stn. XVI (Sta. Rosa),,,,,,,
2017-09-01,Stn. XVIII (Pagsanjan),2.0,9.7,172.0,8.4,0.005,0.003,0.041
2017-09-01,Stn. I (Central West Bay),3.0,7.3,291.0,8.2,0.001,0.206,0.154
2017-09-01,Stn. XVII (Sanctuary),4.0,8.7,272.0,8.3,0.001,0.001,0.252
2017-10-01,Stn. II (East Bay),2.0,8.4,256.0,8.3,0.037,0.06,0.008
2017-10-01,Stn. IV (Central Bay),2.0,7.6,166.0,8.0,0.022,0.212,0.178
2017-10-01,Stn. V (Northern West Bay),,,,,,,
2017-10-01,Stn. VIII (South Bay),5.0,10.8,140.0,9.2,0.061,0.001,0.077
2017-10-01,Stn. XV (San Pedro),4.0,5.6,96.0,7.7,0.043,0.217,0.18
2017-10-01,Stn. XVI (Sta. Rosa),4.0,7.8,678.0,9.3,0.038,0.023,0.18
2017-10-01,Stn. XVIII (Pagsanjan),3.0,8.5,90.0,8.0,0.03,0.001,0.036
2017-10-01,Stn. I (Central West Bay),3.0,6.9,222.0,8.2,0.054,0.046,0.177
2017-10-01,Stn. XVII (Sanctuary),7.0,7.8,240.0,8.2,0.031,0.001,0.131
2017-11-01,Stn. II (East Bay),1.0,8.6,368.0,7.9,0.059,0.137,0.031
2017-11-01,Stn. IV (Central Bay),2.0,6.5,166.0,7.7,0.045,0.453,0.167
2017-11-01,Stn. V (Northern West Bay),,,,,,,
2017-11-01,Stn. VIII (South Bay),2.0,7.8,159.0,8.1,0.038,0.216,0.1
2017-11-01,Stn. XV (San Pedro),2.0,6.2,111.0,7.7,0.036,0.334,0.111
2017-11-01,Stn. XVI (Sta. Rosa),2.0,7.5,678.0,8.2,0.028,0.182,0.077
2017-11-01,Stn. XVIII (Pagsanjan),1.0,8.8,90.0,8.1,0.021,0.06,0.02
2017-11-01,Stn. I (Central West Bay),3.0,6.6,196.0,7.8,0.131,0.361,0.208
2017-11-01,Stn. XVII (Sanctuary),1.0,7.4,240.0,7.9,0.028,0.264,0.107
2017-12-01,Stn. II (East Bay),2.0,8.6,190.0,7.9,0.016,0.032,0.022
2017-12-01,Stn. IV (Central Bay),1.0,6.5,114.0,7.7,0.091,0.617,0.252
2017-12-01,Stn. V (Northern West Bay),3.0,5.9,478.0,7.6,0.017,0.132,0.116
2017-12-01,Stn. VIII (South Bay),2.0,7.8,140.0,8.1,0.001,0.205,0.119
2017-12-01,Stn. XV (San Pedro),0.5,6.2,242.0,7.7,0.007,0.046,0.096
2017-12-01,Stn. XVI (Sta. Rosa),1.0,7.5,240.0,8.2,0.004,0.153,0.119
2017-12-01,Stn. XVIII (Pagsanjan),2.0,8.8,101.0,8.1,0.008,0.006,0.026
2017-12-01,Stn. I (Central West Bay),2.0,6.6,196.0,7.8,0.022,0.263,0.147
2017-12-01,Stn. XVII (Sanctuary),2.0,7.4,166.0,7.9,0.023,0.062,0.104
2018-01-01,Stn. II (East Bay),,,,,,,
2018-01-01,Stn. IV (Central Bay),2.0,8.1,12.0,7.9,0.029,0.389,0.147
2018-01-01,Stn. V (Northern West Bay),1.0,7.4,29.0,8.0,0.027,0.478,0.172
2018-01-01,Stn. VIII (South Bay),1.0,7.6,36.0,7.7,0.011,0.44,0.197
2018-01-01,Stn. XV (San Pedro),0.5,8.6,14.0,8.0,0.006,0.396,0.133
2018-01-01,Stn. XVI (Sta. Rosa),1.1,8.6,9.0,8.3,0.027,0.402,0.153
2018-01-01,Stn. XVIII (Pagsanjan),0.5,8.4,9.0,8.1,0.012,0.375,0.133
2018-01-01,Stn. I (Central West Bay),0.5,7.8,8.0,7.9,0.221,0.666,0.175
2018-01-01,Stn. XVII (Sanctuary),1.1,8.4,22.0,8.2,0.006,0.376,0.129
2018-02-01,Stn. II (East Bay),0.5,8.5,7.0,8.0,0.043,0.392,0.132
2018-02-01,Stn. IV (Central Bay),1.0,8.3,14.0,8.1,0.011,0.513,0.205
2018-02-01,Stn. V (Northern West Bay),1.0,8.7,19.0,8.3,0.036,0.462,0.207
2018-02-01,Stn. VIII (South Bay),2.0,7.7,73.0,8.0,0.175,0.565,0.188
2018-02-01,Stn. XV (San Pedro),3.0,9.7,14.0,8.7,0.007,0.407,0.174
2018-02-01,Stn. XVI (Sta. Rosa),2.0,9.7,4.0,8.7,0.001,0.367,0.166
2018-02-01,Stn. XVIII (Pagsanjan),1.0,8.4,6.0,8.1,0.001,0.326,0.105
2018-02-01,Stn. I (Central West Bay),1.0,8.3,5.0,8.2,0.016,0.459,0.208
2018-02-01,Stn. XVII (Sanctuary),1.0,9.2,22.0,8.7,0.001,0.352,0.157
2018-03-01,Stn. II (East Bay),2.0,8.4,7.0,8.3,0.062,0.259,0.138
2018-03-01,Stn. IV (Central Bay),2.0,8.1,10.0,8.2,0.015,0.326,0.173
2018-03-01,Stn. V (Northern West Bay),2.0,9.5,17.0,8.0,0.01,0.05,0.152
2018-03-01,Stn. VIII (South Bay),2.0,8.2,54.0,8.2,0.016,0.276,0.141
2018-03-01,Stn. XV (San Pedro),2.0,8.2,16.0,8.3,0.017,0.242,0.14
2018-03-01,Stn. XVI (Sta. Rosa),2.0,8.7,4.0,8.2,0.022,0.222,0.118
2018-03-01,Stn. XVIII (Pagsanjan),4.0,8.6,6.0,8.2,0.021,0.05,0.142
2018-03-01,Stn. I (Central West Bay),,,,,,,
2018-03-01,Stn. XVII (Sanctuary),2.0,8.2,14.0,8.0,0.01,0.359,0.168
2018-04-01,Stn. II (East Bay),1.0,8.1,3.5,8.1,0.008,0.05,0.104
2018-04-01,Stn. IV (Central Bay),1.0,8.0,16.9,8.2,0.025,0.05,0.15
2018-04-01,Stn. V (Northern West Bay),5.0,6.8,17.3,8.4,0.285,0.258,0.268
2018-04-01,Stn. VIII (South Bay),0.5,7.9,127.2,8.1,0.035,0.05,0.153
2018-04-01,Stn. XV (San Pedro),0.5,8.4,5.6,8.6,0.025,0.05,0.149
2018-04-01,Stn. XVI (Sta. Rosa),2.0,8.6,4.4,8.5,0.008,0.05,0.138
2018-04-01,Stn. XVIII (Pagsanjan),2.0,8.3,7.2,8.4,0.018,0.05,0.113
2018-04-01,Stn. I (Central West Bay),2.0,7.7,2.5,7.9,0.031,0.138,0.185
2018-04-01,Stn. XVII (Sanctuary),1.0,7.9,4.4,8.3,0.011,0.05,0.158
2018-05-01,Stn. II (East Bay),0.5,7.5,4.2,8.1,0.045,0.05,0.104
2018-05-01,Stn. IV (Central Bay),0.5,7.0,7.6,8.1,0.06,0.05,0.184
2018-05-01,Stn. V (Northern West Bay),4.0,10.6,7.7,8.7,0.055,0.505,0.245
2018-05-01,Stn. VIII (South Bay),1.0,8.3,72.0,8.3,0.027,0.05,0.13
2018-05-01,Stn. XV (San Pedro),1.0,8.3,4.7,8.4,0.054,0.05,0.142
2018-05-01,Stn. XVI (Sta. Rosa),1.0,8.4,9.7,8.5,0.041,0.05,0.116
2018-05-01,Stn. XVIII (Pagsanjan),0.5,7.9,9.4,8.3,0.024,0.05,0.09
2018-05-01,Stn. I (Central West Bay),2.0,8.6,2.5,8.5,0.022,0.109,0.135
2018-05-01,Stn. XVII (Sanctuary),0.5,7.2,7.0,8.3,0.041,0.05,0.115
2018-06-01,Stn. II (East Bay),,,,,,,
2018-06-01,Stn. IV (Central Bay),3.0,8.3,5.6,8.8,0.011,0.05,0.184
2018-06-01,Stn. V (Northern West Bay),3.0,10.0,26.4,8.8,0.062,0.05,0.203
2018-06-01,Stn. VIII (South Bay),2.0,9.3,59.2,8.9,0.016,0.235,0.123
2018-06-01,Stn. XV (San Pedro),2.0,8.2,5.0,9.7,0.008,0.177,0.144
2018-06-01,Stn. XVI (Sta. Rosa),2.0,8.2,8.5,8.7,0.005,0.05,0.14
2018-06-01,Stn. XVIII (Pagsanjan),,,,,,,
2018-06-01,Stn. I (Central West Bay),7.0,7.6,4.5,8.5,0.067,0.05,0.27
2018-06-01,Stn. XVII (Sanctuary),2.0,8.6,5.6,8.9,0.008,0.137,0.18
2018-07-01,Stn. II (East Bay),7.0,8.3,5.3,9.1,0.056,0.05,0.087
2018-07-01,Stn. IV (Central Bay),3.0,9.0,1.9,9.4,0.001,0.05,0.104
2018-07-01,Stn. V (Northern West Bay),4.0,7.8,18.3,9.0,0.002,0.05,0.129
2018-07-01,Stn. VIII (South Bay),,,,,,,
2018-07-01,Stn. XV (San Pedro),3.0,7.9,20.4,8.5,0.001,0.05,0.09
2018-07-01,Stn. XVI (Sta. Rosa),2.0,8.1,5.5,8.8,0.001,0.05,0.082
2018-07-01,Stn. XVIII (Pagsanjan),3.0,9.5,4.5,9.5,0.001,0.05,0.047
2018-07-01,Stn. I (Central West Bay),8.0,9.0,7.1,9.7,0.043,0.05,0.111
2018-07-01,Stn. XVII (Sanctuary),3.0,8.0,3.0,8.9,0.046,0.05,0.088
2018-08-01,Stn. II (East Bay),2.0,6.8,3.3,8.7,0.036,0.057,0.102
2018-08-01,Stn. IV (Central Bay),2.0,8.5,1.8,9.1,0.061,0.004,0.19
2018-08-01,Stn. V (Northern West Bay),3.0,8.2,51.8,8.6,0.023,0.428,0.136
2018-08-01,Stn. VIII (South Bay),1.0,6.4,2.8,8.5,0.001,0.073,0.133
2018-08-01,Stn. XV (San Pedro),3.0,7.6,81.2,8.5,0.009,0.161,0.142
2018-08-01,Stn. XVI (Sta. Rosa),2.0,8.2,10.2,8.6,0.008,0.092,0.193
2018-08-01,Stn. XVIII (Pagsanjan),2.0,8.8,5.4,9.2,0.014,0.111,0.041
2018-08-01,Stn. I (Central West Bay),2.0,5.6,16.0,7.9,0.088,0.594,0.135
2018-08-01,Stn. XVII (Sanctuary),1.0,7.8,1.9,8.9,0.05,0.103,0.148
2018-09-01,Stn. II (East Bay),3.0,9.5,4.5,8.7,0.061,0.05,0.062
2018-09-01,Stn. IV (Central Bay),2.0,8.8,1.9,8.7,0.066,0.504,0.137
2018-09-01,Stn. V (Northern West Bay),,,,,,,
2018-09-01,Stn. VIII (South Bay),,,,,,,
2018-09-01,Stn. XV (San Pedro),,,,,,,
2018-09-01,Stn. XVI (Sta. Rosa),2.0,10.7,16.7,9.0,0.001,0.844,0.078
2018-09-01,Stn. XVIII (Pagsanjan),2.0,9.1,4.1,8.8,0.014,0.05,0.025
2018-09-01,Stn. I (Central West Bay),7.0,10.5,7.1,9.0,0.011,0.05,0.061
2018-09-01,Stn. XVII (Sanctuary),,,,,,,
2018-10-01,Stn. II (East Bay),2.0,7.6,3.3,8.5,0.031,0.05,0.117
2018-10-01,Stn. IV (Central Bay),2.0,6.6,1.9,8.6,0.023,0.05,0.146
2018-10-01,Stn. V (Northern West Bay),1.0,6.9,21.5,8.4,0.021,0.05,0.117
2018-10-01,Stn. VIII (South Bay),2.0,8.4,39.1,8.5,0.026,0.42,0.096
2018-10-01,Stn. XV (San Pedro),2.0,8.2,21.3,8.7,0.017,0.05,0.08
