Month,Stations,BOD (mg/L),Dissolved Oxygen (mg/L),"Fecal Coliform, MPN/100ml (Geomean)",pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phospate (mg/L)
2016-01-01,Stn. II (East Bay),,,,,,,
2016-01-01,Stn. IV (Central Bay),,,,,,,
2016-01-01,Stn. V (Northern West Bay),,,,,,,
2016-01-01,Stn. VIII (South Bay),,,,,,,
2016-01-01,Stn. XV (San Pedro),,,,,,,
2016-01-01,Stn. XVI (Sta. Rosa),,,,,,,
2016-01-01,Stn. XVIII (Pagsanjan),,,,,,,
2016-01-01,Stn. I (Central West Bay),,,,,,,
2016-01-01,Stn. XVII (Sanctuary),,,,,,,
2016-02-01,Stn. II (East Bay),2.0,7.9,410.0,8.0,0.057,0.357,0.059
2016-02-01,Stn. IV (Central Bay),1.0,7.8,522.0,7.8,0.036,0.335,0.063
2016-02-01,Stn. V (Northern West Bay),2.0,7.5,360.0,8.0,0.018,0.715,0.135
2016-02-01,Stn. VIII (South Bay),1.0,7.5,435.0,8.0,0.006,0.375,0.098
2016-02-01,Stn. XV (San Pedro),1.0,7.8,820.0,8.0,0.027,0.538,0.067
2016-02-01,Stn. XVI (Sta. Rosa),2.0,8.3,639.0,8.2,0.008,0.285,0.04
2016-02-01,Stn. XVIII (Pagsanjan),2.0,8.3,401.0,8.1,0.024,0.283,0.056
2016-02-01,Stn. I (Central West Bay),,,,,,,
2016-02-01,Stn. XVII (Sanctuary),,,,,,,
2016-03-01,Stn. II (East Bay),1.0,8.4,333.0,8.3,0.264,0.176,0.004
2016-03-01,Stn. IV (Central Bay),1.0,8.3,457.0,8.1,0.019,0.355,0.006
2016-03-01,Stn. V (Northern West Bay),1.0,7.6,357.0,8.0,0.133,0.103,0.037
2016-03-01,Stn. VIII (South Bay),1.0,8.0,672.0,7.8,0.22,0.204,0.001
2016-03-01,Stn. XV (San Pedro),1.0,7.6,485.0,8.1,0.169,0.352,0.03
2016-03-01,Stn. XVI (Sta. Rosa),1.0,8.1,271.0,8.2,0.027,0.559,0.003
2016-03-01,Stn. XVIII (Pagsanjan),1.0,8.5,301.0,7.8,0.024,0.004,0.007
2016-03-01,Stn. I (Central West Bay),1.0,7.6,678.0,8.0,0.045,0.308,0.021
2016-03-01,Stn. XVII (Sanctuary),1.0,7.9,918.0,8.1,0.092,0.192,0.016
2016-04-01,Stn. II (East Bay),1.0,8.3,627.0,8.5,0.085,0.046,0.071
2016-04-01,Stn. IV (Central Bay),1.0,8.6,125.0,8.7,0.129,0.039,0.104
2016-04-01,Stn. V (Northern West Bay),1.0,7.5,125.0,8.9,0.083,0.087,0.102
2016-04-01,Stn. VIII (South Bay),1.0,8.3,428.0,8.5,0.094,0.081,0.084
2016-04-01,Stn. XV (San Pedro),2.0,8.6,201.0,8.3,0.088,0.128,0.103
2016-04-01,Stn. XVI (Sta. Rosa),1.0,8.1,165.0,8.3,0.081,0.102,0.087
2016-04-01,Stn. XVIII (Pagsanjan),1.0,8.5,110.0,8.7,0.068,0.096,0.031
2016-04-01,Stn. I (Central West Bay),1.0,8.6,144.0,8.7,0.152,0.065,0.125
2016-04-01,Stn. XVII (Sanctuary),1.0,8.3,294.0,8.6,0.058,0.088,0.089
2016-05-01,Stn. II (East Bay),,,,,,,
2016-05-01,Stn. IV (Central Bay),1.0,6.8,117.0,8.3,0.05,0.002,0.103
2016-05-01,Stn. V (Northern West Bay),,,,,,,
2016-05-01,Stn. VIII (South Bay),1.0,7.9,620.0,8.3,0.055,0.001,0.077
2016-05-01,Stn. XV (San Pedro),3.0,6.9,185.0,8.2,0.074,0.019,0.069
2016-05-01,Stn. XVI (Sta. Rosa),2.0,7.7,107.0,8.3,0.054,0.036,0.067
2016-05-01,Stn. XVIII (Pagsanjan),4.0,10.0,51.0,9.4,0.056,0.004,0.004
2016-05-01,Stn. I (Central West Bay),1.0,6.4,144.0,8.3,0.236,0.001,0.147
2016-05-01,Stn. XVII (Sanctuary),2.0,7.5,86.0,8.1,0.079,0.051,0.066
2016-06-01,Stn. II (East Bay),,,,,,,
2016-06-01,Stn. IV (Central Bay),3.0,9.5,117.0,9.6,0.051,0.051,0.149
2016-06-01,Stn. V (Northern West Bay),3.0,9.5,363.0,9.0,0.336,0.069,0.19
2016-06-01,Stn. VIII (South Bay),3.0,8.9,709.0,9.4,0.054,0.684,0.095
2016-06-01,Stn. XV (San Pedro),3.0,7.6,208.0,8.9,0.067,0.77,0.12
2016-06-01,Stn. XVI (Sta. Rosa),2.0,7.7,83.0,9.0,0.042,0.165,0.087
2016-06-01,Stn. XVIII (Pagsanjan),4.0,9.1,26.0,9.4,0.031,0.798,0.12
2016-06-01,Stn. I (Central West Bay),,,,,,,
2016-06-01,Stn. XVII (Sanctuary),3.0,8.9,35.0,9.3,0.047,0.372,0.073
2016-07-01,Stn. II (East Bay),1.0,9.7,586.0,9.5,0.015,0.574,0.179
2016-07-01,Stn. IV (Central Bay),,,,,,,
2016-07-01,Stn. V (Northern West Bay),2.0,6.3,793.0,8.9,0.067,0.11,0.048
2016-07-01,Stn. VIII (South Bay),1.0,8.1,517.0,9.0,0.031,0.001,0.143
2016-07-01,Stn. XV (San Pedro),,,,,,,
2016-07-01,Stn. XVI (Sta. Rosa),2.0,7.5,136.0,8.7,0.039,0.001,0.074
2016-07-01,Stn. XVIII (Pagsanjan),3.0,9.4,38.0,9.6,0.001,0.038,0.001
2016-07-01,Stn. I (Central West Bay),2.0,7.3,185.0,8.8,0.025,0.068,0.134
2016-07-01,Stn. XVII (Sanctuary),2.0,7.8,41.0,8.8,0.028,0.001,0.134
2016-08-01,Stn. II (East Bay),2.0,6.8,665.0,8.9,0.181,0.271,0.001
2016-08-01,Stn. IV (Central Bay),2.0,7.3,121.0,8.6,0.183,0.142,0.014
2016-08-01,Stn. V (Northern West Bay),,,,,,,
2016-08-01,Stn. VIII (South Bay),2.0,7.6,586.0,9.1,0.069,0.028,0.001
2016-08-01,Stn. XV (San Pedro),2.0,6.5,418.0,8.9,0.07,0.301,0.008
2016-08-01,Stn. XVI (Sta. Rosa),7.0,7.4,211.0,8.8,0.033,0.001,0.009
2016-08-01,Stn. XVIII (Pagsanjan),3.0,6.7,99.0,8.9,0.256,0.041,0.001
2016-08-01,Stn. I (Central West Bay),3.0,5.5,126.0,8.1,0.313,0.382,0.235
2016-08-01,Stn. XVII (Sanctuary),2.0,7.3,46.0,8.9,0.025,0.037,0.005
2016-09-01,Stn. II (East Bay),2.0,9.0,754.0,9.0,0.048,0.022,0.011
2016-09-01,Stn. IV (Central Bay),,,,,,,
2016-09-01,Stn. V (Northern West Bay),,,,,,,
2016-09-01,Stn. VIII (South Bay),2.0,8.8,272.0,9.0,0.001,0.109,0.045
2016-09-01,Stn. XV (San Pedro),3.0,8.7,418.0,8.7,0.001,0.069,0.072
2016-09-01,Stn. XVI (Sta. Rosa),4.0,10.2,211.0,9.0,0.011,0.037,0.036
2016-09-01,Stn. XVIII (Pagsanjan),2.0,9.4,194.0,9.4,0.013,0.031,0.007
2016-09-01,Stn. I (Central West Bay),3.0,7.3,335.0,7.8,0.076,0.728,0.134
2016-09-01,Stn. XVII (Sanctuary),,,,,,,
2016-10-01,Stn. II (East Bay),3.0,10.0,213.0,9.2,0.045,0.035,0.016
2016-10-01,Stn. IV (Central Bay),2.0,8.9,49.0,8.9,0.034,0.046,0.07
2016-10-01,Stn. V (Northern West Bay),4.0,6.3,478.0,7.8,0.236,0.463,0.133
2016-10-01,Stn. VIII (South Bay),1.0,8.5,309.0,8.0,0.008,0.034,0.066
2016-10-01,Stn. XV (San Pedro),1.0,5.9,140.0,7.6,0.181,0.035,0.089
2016-10-01,Stn. XVI (Sta. Rosa),1.0,5.8,211.0,7.7,0.22,0.055,0.121
2016-10-01,Stn. XVIII (Pagsanjan),1.0,9.3,76.0,9.0,0.1,0.036,0.021
2016-10-01,Stn. I (Central West Bay),,,,,,,
2016-10-01,Stn. XVII (Sanctuary),1.0,7.6,101.0,8.8,0.093,0.091,0.074
2016-11-01,Stn. II (East Bay),1.0,7.2,153.0,8.55,0.32,0.255,0.051
2016-11-01,Stn. IV (Central Bay),1.0,7.4,26.0,8.65,0.052,0.545,0.251
2016-11-01,Stn. V (Northern West Bay),2.0,7.5,558.0,8.1,0.048,0.038,0.258
2016-11-01,Stn. VIII (South Bay),2.0,8.1,272.0,8.15,0.032,0.308,0.258
2016-11-01,Stn. XV (San Pedro),3.0,6.8,309.0,8.3,0.155,0.184,0.208
2016-11-01,Stn. XVI (Sta. Rosa),2.0,9.8,268.0,8.1,0.002,0.14,0.168
2016-11-01,Stn. XVIII (Pagsanjan),1.0,6.6,110.0,8.7,0.049,0.314,0.222
2016-11-01,Stn. I (Central West Bay),2.0,7.8,179.0,7.9,0.065,0.131,0.031
2016-11-01,Stn. XVII (Sanctuary),2.0,7.9,196.0,8.8,0.045,0.127,0.244
2016-12-01,Stn. II (East Bay),2.0,7.6,51.0,7.9,0.024,0.141,0.122
